partner_id,country,city,vehicle_type,tenure_months,registration_date,trip_completion_rate,avg_customer_rating,consistency_score,cancellation_rate,total_trips,monthly_earnings_usd,earning_volatility,peak_hours_utilization,weekend_activity_ratio,feature_adoption_score,platform_activity_days_per_month,grabpay_usage_frequency,referral_count,traditional_credit_score,nova_score,risk_category,vehicle_loan_eligible,business_loan_eligible,max_loan_amount_usd,interest_rate_offered,last_30_days_trips,recent_rating_trend,recent_earnings_trend
GRB_000000,Indonesia,Jakarta,Motorcycle,14.8,2024-06-09,0.952,4.53,0.999,0.096,3856,886.75,0.154,0.482,0.417,0.583,26.1,23.0,5,,612,Medium,True,True,8867.52,17.8,195,0.11,-0.07
GRB_000001,Indonesia,Medan,Both,27.1,2023-06-08,0.857,4.29,0.649,0.017,4871,1600.47,0.373,0.324,0.716,0.346,15.4,20.1,8,,594,Medium,True,True,16004.7,17.9,72,0.15,0.05
GRB_000002,Indonesia,Jakarta,Motorcycle,6.0,2025-03-02,0.93,4.78,0.868,0.092,1309,533.38,0.179,0.724,0.202,0.459,22.4,8.7,0,601.0,576,Medium,True,True,5333.76,12.6,128,0.01,-0.19
GRB_000003,Indonesia,Jakarta,Motorcycle,7.6,2025-01-12,0.826,4.15,0.668,0.003,1363,481.05,0.403,0.832,0.128,0.597,17.4,15.8,2,,521,Medium,True,True,4810.51,17.9,67,-0.06,-0.16
GRB_000006,Indonesia,Medan,Motorcycle,3.5,2025-05-15,0.892,4.17,0.562,0.008,627,491.29,0.322,0.612,0.615,0.272,15.8,5.3,0,,500,Medium,True,True,4912.92,13.2,62,0.01,0.14
GRB_000007,Indonesia,Medan,Motorcycle,6.5,2025-02-12,1.042,5.09,1.0,0.113,1700,952.77,0.172,0.64,0.723,0.648,24.1,23.0,4,,614,Medium,True,True,9527.73,17.8,189,-0.02,0.28
GRB_000008,Indonesia,Medan,Car,6.3,2025-02-19,1.003,4.81,1.0,0.157,1643,1844.1,0.178,0.447,0.802,0.557,29.5,19.6,3,726.0,638,Medium,True,False,18441.03,16.9,190,-0.1,0.2
GRB_000011,Indonesia,Jakarta,Car,14.1,2024-06-30,0.922,4.71,1.0,0.076,3109,1655.83,0.177,0.283,0.198,0.573,21.5,15.4,3,,623,Medium,True,True,16558.32,12.5,129,0.15,-0.26
GRB_000014,Indonesia,Bandung,Motorcycle,9.7,2024-11-09,0.922,4.65,0.894,0.066,2140,846.04,0.206,0.154,0.93,0.442,19.7,5.4,4,,590,Medium,True,False,8460.42,12.5,133,0.14,-0.09
GRB_000015,Indonesia,Surabaya,Motorcycle,3.1,2025-05-27,0.851,3.98,0.658,0.078,553,424.52,0.355,0.672,0.93,0.263,20.3,10.6,1,,499,High,False,False,2122.62,22.0,66,-0.01,-0.06
GRB_000016,Indonesia,Bandung,Motorcycle,2.6,2025-06-11,0.927,4.49,0.674,0.132,572,689.88,0.222,0.699,0.2,0.568,20.5,20.2,2,469.0,563,Medium,True,False,6898.75,16.8,131,-0.12,-0.24
GRB_000019,Indonesia,Jakarta,Motorcycle,12.3,2024-08-23,0.889,4.6,0.793,0.073,2706,747.76,0.258,0.605,0.199,0.414,22.4,14.3,5,590.0,569,Medium,True,True,7477.57,13.1,141,0.02,0.11
GRB_000020,Indonesia,Surabaya,Motorcycle,3.6,2025-05-13,0.946,4.6,0.787,0.082,782,425.03,0.205,0.096,0.836,0.447,19.9,3.5,1,568.0,561,Medium,True,False,4250.3,17.5,133,-0.1,0.13
GRB_000021,Indonesia,Jakarta,Car,20.6,2023-12-18,0.904,4.42,0.92,0.041,4537,1650.1,0.165,0.759,0.733,0.64,23.4,3.8,9,,676,Low,True,True,24751.51,10.7,136,0.26,-0.01
GRB_000022,Indonesia,Surabaya,Motorcycle,1.0,2025-07-29,0.909,4.38,0.752,0.068,219,531.35,0.283,0.49,0.675,0.508,19.4,13.0,0,556.0,542,Medium,True,False,5313.51,16.3,117,-0.02,-0.02
GRB_000023,Indonesia,Jakarta,Motorcycle,21.5,2023-11-20,0.918,4.33,0.95,0.038,4739,1077.94,0.237,0.124,0.285,0.557,23.2,12.4,8,453.0,631,Medium,True,False,10779.41,15.7,126,-0.19,-0.18
GRB_000025,Indonesia,Medan,Motorcycle,35.1,2022-10-11,0.971,4.78,1.0,0.081,9113,1729.98,0.191,0.5,0.18,0.844,26.4,11.1,13,761.0,695,Low,True,True,25949.71,9.0,186,0.06,0.1
